
Name                                             AppID                                                                 
----                                             -----                                                                 
Adobe Acrobat                                    AcrobatReader                                                         
Adobe Express Photos                             AdobeSystemsIncorporated.AdobePhotoshopExpress_mtcwf2zmmt10c!App      
Adobe Photoshop 2021                             {6D809377-6AF0-444B-8957-A3773F02200E}\Adobe\Adobe Photoshop 2021\P...
Bitnami for XAMPP                                https://bitnami.com/stack/xampp?utm_source=bitnami&utm_medium=insta...
Brave                                            Brave                                                                 
Brother Print Support App                        C2258428.Brother.PrintSupportApp_m06mxaavvcjkt!App                    
Calculator                                       Microsoft.WindowsCalculator_8wekyb3d8bbwe!App                         
Camera                                           Microsoft.WindowsCamera_8wekyb3d8bbwe!App                             
Character Map                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\charmap.exe                    
Claude                                           Claude_pzs8sxrjxfjjc!Claude                                           
Click to Do                                      MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy!ClickToDoApp             
Clock                                            Microsoft.WindowsAlarms_8wekyb3d8bbwe!App                             
Command Prompt                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe                        
Component Services                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\comexp.msc                     
Computer Management                              Microsoft.AutoGenerated.{8ABD94FB-E7D6-84A6-A997-C918EDDE0AE5}        
Console RAR manual                               {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\Rar.txt                 
Control Panel                                    Microsoft.Windows.ControlPanel                                        
Defragment and Optimize Drives                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\dfrgui.exe                     
Dev Home                                         Microsoft.Windows.DevHome_8wekyb3d8bbwe!App                           
Disk Cleanup                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cleanmgr.exe                   
Dolby Access                                     DolbyLaboratories.DolbyAccess_rz1tebttyb220!App                       
Dota 2                                           steam://rungameid/570                                                 
Event Viewer                                     Microsoft.AutoGenerated.{BB044BFD-25B7-2FAA-22A8-6371A93E0456}        
Feedback Hub                                     Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App                        
File Explorer                                    Microsoft.Windows.Explorer                                            
Game Bar                                         Microsoft.XboxGamingOverlay_8wekyb3d8bbwe!App                         
Get Help                                         Microsoft.GetHelp_8wekyb3d8bbwe!App                                   
Get Started                                      MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WebExperienceHost           
Git Bash                                         Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3}        
Git CMD                                          Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE}        
Git FAQs (Frequently Asked Questions)            https://gitforwindows.org/faq                                         
Git GUI                                          {6D809377-6AF0-444B-8957-A3773F02200E}\Git\cmd\git-gui.exe            
Git Release Notes                                {6D809377-6AF0-444B-8957-A3773F02200E}\Git\ReleaseNotes.html          
IDLE (Python 3.13 64-bit)                        Microsoft.AutoGenerated.{383735C5-B1E9-1939-6077-E63E3BD59023}        
IDLE (Python 3.14 64-bit)                        Microsoft.AutoGenerated.{1CA9C113-E85A-57CD-1949-B1EAC3ADB1BD}        
IDLE (Python 3.9 64-bit)                         Microsoft.AutoGenerated.{7290683E-05DD-70C0-07DE-3742D4BE5039}        
Install Additional Tools for Node.js             Microsoft.AutoGenerated.{04770C2D-34E6-BE94-EFAD-FA817237D6E9}        
Intel? Graphics Software                         AppUp.IntelArcSoftware_8j3eq9eme6ctt!INTELGRAPHICSSOFTWARE            
iSCSI Initiator                                  {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\iscsicpl.exe                   
Jan                                              jan.ai.app                                                            
KDE Connect                                      KDEe.V.KDEConnect_7vt06qxq7ptv8!KDEe.V.KDEConnect                     
Live captions                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LiveCaptions.exe               
Lively Wallpaper                                 12030rocksdanister.LivelyWallpaper_97hta09mmv6hy!App                  
Local Security Policy                            Microsoft.AutoGenerated.{BD3F924E-55FB-A1BA-9DE6-B50F9F2460AC}        
Magnifier                                        {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe                    
Media Player                                     Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic                 
Microsoft 365 Copilot                            Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOffic...
Microsoft Clipchamp                              Clipchamp.Clipchamp_yxz26nhyzhsrt!App                                 
Microsoft Edge                                   MSEdge                                                                
Microsoft Store                                  Microsoft.WindowsStore_8wekyb3d8bbwe!App                              
Microsoft Teams                                  MSTeams_8wekyb3d8bbwe!MSTeams                                         
Microsoft To Do                                  Microsoft.Todos_8wekyb3d8bbwe!App                                     
MonitorSite                                      C:\Users\DICT-10-pc0\AppData\Roaming\Nova Star\NovaLCT\Bin\MonitorM...
Narrator                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe                   
News                                             Microsoft.BingNews_8wekyb3d8bbwe!AppexNews                            
Node.js                                          {6D809377-6AF0-444B-8957-A3773F02200E}\nodejs\node.exe                
Node.js command prompt                           Microsoft.AutoGenerated.{499EE7CA-7ED5-EBC9-AB09-80DC143D7B90}        
Node.js documentation                            https://nodejs.org/download/release/v24.15.0/docs/api/                
Node.js website                                  https://nodejs.org/                                                   
Notepad                                          Microsoft.WindowsNotepad_8wekyb3d8bbwe!App                            
Nova M3 LED Display Control System User Manual   C:\Users\DICT-10-pc0\AppData\Roaming\Nova Star\NovaLCT\Help\en\Nova...
Nova M3????????????????????                      C:\Users\DICT-10-pc0\AppData\Roaming\Nova Star\NovaLCT\Help\zh-CN\N...
NovaLCT                                          C:\Users\DICT-10-pc0\AppData\Roaming\Nova Star\NovaLCT\Bin\NovaLCT.exe
OBS Studio                                       {6D809377-6AF0-444B-8957-A3773F02200E}\obs-studio\bin\64bit\obs64.exe 
ODBC Data Sources (32-bit)                       {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe                   
ODBC Data Sources (64-bit)                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe                   
Ollama                                           C:\Users\DICT-10-pc0\AppData\Local\Programs\Ollama\ollama app.exe     
On-Screen Keyboard                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe                        
Outlook                                          Microsoft.OutlookForWindows_8wekyb3d8bbwe!Microsoft.OutlookforWindows 
Paint                                            Microsoft.Paint_8wekyb3d8bbwe!App                                     
Performance Monitor                              Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}        
Phone Link                                       Microsoft.YourPhone_8wekyb3d8bbwe!App                                 
Photos                                           Microsoft.Windows.Photos_8wekyb3d8bbwe!App                            
Power Automate                                   Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Console              
Print Management                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\printmanagement.msc            
Python 3.13 (64-bit)                             C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python313\python...
Python 3.13 Manuals (64-bit)                     C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python313\Doc\ht...
Python 3.13 Module Docs (64-bit)                 Microsoft.AutoGenerated.{1C467FE9-CBE1-CE37-A07F-14504103A92B}        
Python 3.14 (64-bit)                             C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python314\python...
Python 3.14 Manuals (64-bit)                     C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python314\Doc\ht...
Python 3.14 Module Docs (64-bit)                 Microsoft.AutoGenerated.{0DCF6012-4707-B7AC-A53B-5A55B511713B}        
